approval_year,approval_count
1900.0,1
1939.0,15
1940.0,11
1941.0,16
1942.0,12
1943.0,7
1944.0,10
1945.0,6
1946.0,14
1947.0,21
1948.0,28
1949.0,17
1950.0,28
1951.0,26
1952.0,35
1953.0,48
1954.0,47
1955.0,48
1956.0,40
1957.0,71
1958.0,39
1959.0,65
1960.0,61
1961.0,42
1962.0,37
1963.0,33
1964.0,73
1965.0,52
1966.0,39
1967.0,55
1968.0,47
1969.0,46
1970.0,72
1971.0,117
1972.0,172
1973.0,215
1974.0,281
1975.0,191
1976.0,296
1977.0,266
1978.0,272
1979.0,190
1980.0,210
1981.0,288
1982.0,342
1983.0,269
1984.0,326
1985.0,393
1986.0,478
1987.0,501
1988.0,455
1989.0,250
1990.0,127
1991.0,241
1992.0,263
1993.0,239
1994.0,250
1995.0,285
1996.0,358
1997.0,405
1998.0,338
1999.0,277
2000.0,350
2001.0,302
2002.0,416
2003.0,354
2004.0,505
2005.0,437
2006.0,487
2007.0,603
2008.0,577
2009.0,584
2010.0,545
2011.0,579
2012.0,630
2013.0,592
2014.0,565
2015.0,729
2016.0,754
2017.0,1042
2018.0,1030
2019.0,1009
2020.0,940
2021.0,792
2022.0,927
2023.0,1003
2024.0,968
2025.0,1040
2026.0,195
