column,missing_pct
review_duration_months,100.0
submission_date,100.0
review_duration_days,100.0
submission_class_desc,76.78
review_priority_clean,50.39
submission_class_code,45.3
strength,6.25
drug_name_norm,5.62
dosage_form,5.62
active_ingredient,5.62
drug_name,5.62
active_ingredient_norm,5.62
appl_type,4.38
sponsor_name,4.38
review_priority_group,0.0
priority_review,0.0
orphan_designation,0.0
is_tentative_approval,0.0
approval_year,0.0
approval_date,0.0
submission_status,0.0
submission_no,0.0
submission_type,0.0
appl_no,0.0
