sponsorname,n_cs_nda,share_pct
HIKMA,9,4.0540543
UCB INC,9,4.0540543
SPECGX LLC,7,3.1531532
PURDUE PHARMA LP,7,3.1531532
SANOFI AVENTIS US,5,2.2522523
UPJOHN,5,2.2522523
INDIVIOR,5,2.2522523
TAKEDA PHARMS USA,4,1.8018018
ABBOTT,4,1.8018018
COLLEGIUM PHARM INC,4,1.8018018
JANSSEN PHARMS,4,1.8018018
AZURITY,3,1.3513514
PFIZER,3,1.3513514
ENDO OPERATIONS,3,1.3513514
RHODES PHARMS,3,1.3513514
BAUSCH,3,1.3513514
CHARTWELL RX,3,1.3513514
PERSION,3,1.3513514
CEPHALON,3,1.3513514
ABBVIE,3,1.3513514
NEOS THERAPS INC,2,.9009009
ENDO PHARMS,2,.9009009
ALLERGAN,2,.9009009
BTCP PHARMA,2,.9009009
ALMATICA,2,.9009009
PURDUE PHARMA,2,.9009009
EXELA PHARMA,2,.9009009
BESINS HLTHCARE,2,.9009009
LUNDBECK PHARMS LLC,2,.9009009
BDSI,2,.9009009
VALEANT PHARM INTL,2,.9009009
ZYLA,2,.9009009
RISING,2,.9009009
GENUS LIFESCIENCES,2,.9009009
ROCHE,2,.9009009
FRESENIUS KABI USA,2,.9009009
ICU MEDICAL INC,2,.9009009
NOVARTIS,2,.9009009
TRIS PHARMA INC,2,.9009009
ALZA,2,.9009009
COSETTE,2,.9009009
HOSPIRA INC,2,.9009009
SANDOZ,2,.9009009
GLAXOSMITHKLINE,2,.9009009
CP PHARMS,2,.9009009
SCHERING,1,.45045045
AUCTA,1,.45045045
SHIONOGI INC,1,.45045045
OMNIVIUM PHARMS,1,.45045045
SENTYNL THERAPS INC,1,.45045045
XANODYNE PHARMS INC,1,.45045045
OSMOTICA PHARM US,1,.45045045
TREVENA,1,.45045045
PACIRA PHARMS INC,1,.45045045
AYTU,1,.45045045
HLR,1,.45045045
RAFA LABS LTD,1,.45045045
PHARMACIA AND UPJOHN,1,.45045045
BRAEBURN,1,.45045045
LEGACY PHARMA,1,.45045045
VALEANT PHARMS,1,.45045045
APOTHECON,1,.45045045
MALLINCKRODT INC,1,.45045045
ADALVO,1,.45045045
REACX PHARMS,1,.45045045
MAINPOINTE,1,.45045045
PH HEALTH,1,.45045045
TEVA BRANDED PHARM,1,.45045045
MMT,1,.45045045
PROTEGA PHARMS,1,.45045045
MYLAN INSTITUTIONAL,1,.45045045
WYETH AYERST,1,.45045045
CHEPLAPHARM,1,.45045045
LXO IRELAND,1,.45045045
US ARMY,1,.45045045
PARKE DAVIS,1,.45045045
PERRIGO ISRAEL,1,.45045045
MERCK SHARP DOHME,1,.45045045
VERTICAL PHARMS,1,.45045045
GALT PHARMS,1,.45045045
ACTAVIS LABS UT INC,1,.45045045
ALPHARMA PHARMS,1,.45045045
EISAI INC,1,.45045045
BRISTOL MYERS SQUIBB,1,.45045045
JAZZ PHARMS,1,.45045045
NEURELIS INC,1,.45045045
ROXANE,1,.45045045
NEXTWAVE PHARMS,1,.45045045
EDENBRIDGE PHARMS,1,.45045045
KOWA PHARMS,1,.45045045
AVADEL CNS,1,.45045045
FOREST LABS,1,.45045045
MERIDIAN MEDCL TECHN,1,.45045045
AUXILIUM PHARMS LLC,1,.45045045
INFORLIFE,1,.45045045
SOVEREIGN PHARMS,1,.45045045
VIVUS LLC,1,.45045045
NOVEN PHARMS INC,1,.45045045
SUN PHARM INDS INC,1,.45045045
AYTU BIOPHARMA,1,.45045045
ACERTIS PHARMS,1,.45045045
KING PHARMS LLC,1,.45045045
UPSHER SMITH LABS,1,.45045045
NEOS THERAPS,1,.45045045
ATHENA,1,.45045045
BIOVAIL LABS INTL,1,.45045045
CIPHER PHARMS INC,1,.45045045
NUVO PHARMS,1,.45045045
TEVA PHARMS USA,1,.45045045
ASSERTIO SPECLTY,1,.45045045
CHARTWELL MOLECULAR,1,.45045045
ELI LILLY AND CO,1,.45045045
OHEMO LIFE,1,.45045045
VISTAPHARM LLC,1,.45045045
THE MEDICINES CO,1,.45045045
AJENAT PHARMS,1,.45045045
VIATRIS,1,.45045045
ECI PHARMS LLC,1,.45045045
NEXTWAVE,1,.45045045
RECRO GAINESVILLE,1,.45045045
3M,1,.45045045
HOSPIRA,1,.45045045
CITIUS PHARMS,1,.45045045
IRONSHORE PHARMS,1,.45045045
JAZZ,1,.45045045
ACERUS,1,.45045045
ANI PHARMS,1,.45045045
