approval_year,hhi,top10_share,post_gdufa,gdufa_transition,is_cs_sample
1984,.0361502020386979,.72113699,0,0,0
1985,.0227559903287329,.38487974,0,0,0
1986,.0303789205463545,.45357153,0,0,0
1987,.0252859965085008,.36960036,0,0,0
1988,.0269783755211392,.40295318,0,0,0
1989,.0402147256099852,1.007326,0,0,0
1990,.0479747201316059,1.7478814,0,0,0
1991,.0770982556932722,1.1019284,0,0,0
1992,.0387811631080694,.86206895,0,0,0
1993,.0309709938264859,.59912854,0,0,0
1994,.0508035441162065,1.0277172,0,0,0
1995,.0399710178080568,.90144229,0,0,0
1996,.0281975012239855,.55404997,0,0,0
1997,.021391772217612,.32743195,0,0,0
1998,.0217481482432049,.39716312,0,0,0
1999,.0224105191555282,.4428525,0,0,0
2000,.01983098792698,.33864883,0,0,0
2001,.0194848920327786,.34994799,0,0,0
2002,.0195681784425688,.29980013,0,0,0
2003,.02069091796875,.35807291,0,0,0
2004,.0190062411529652,.2538617,0,0,0
2005,.0168384379585405,.22937906,0,0,0
2006,.014975527928982,.21211554,0,0,0
2007,.0137166137919849,.16417126,0,0,0
2008,.0141873727739039,.18171574,0,0,0
2009,.012377363743326,.14292762,0,0,0
2010,.0123280144744058,.16099425,0,0,0
2011,.0124348216322687,.15345705,0,0,0
2012,.0146789695618281,.18062983,0,0,0
2013,.0139708858587255,.18794765,0,1,0
2014,.0136159093981405,.17465836,0,1,0
2015,.0142442951832891,.16254911,1,0,0
2016,.0128620244088324,.14223854,1,0,0
2017,.0162692999720093,.14977811,1,0,0
2018,.0120433103620599,.11652102,1,0,0
2019,.0111708940269182,.10157001,1,0,0
2020,.0117414371543418,.11576223,1,0,0
2021,.0106015780299913,.1094821,1,0,0
2022,.0133833739721467,.13285606,1,0,0
2023,.0151334030670114,.15197569,1,0,0
2024,.0145380949225,.14922753,1,0,0
2025,.0134163974591957,.14601602,1,0,0
1984,.1044444437138736,6.1904764,0,0,1
1985,.0817174487747252,4.0166206,0,0,1
1986,.0551797793596052,2.5660377,0,0,1
1987,.0600184657378122,2.9748285,0,0,1
1988,.0570595582248643,2.8061225,0,0,1
1989,.2022160608321428,14.285714,0,0,1
1990,.234567902982235,20,0,0,1
1991,.3702422122005373,12.5,0,0,1
1992,.2544378731399775,20,0,0,1
1993,.1020408142358065,8.4415588,0,0,1
1994,.1280276840552688,8.5561495,0,0,1
1995,.3199999984353781,20,0,0,1
1996,.0868055559694767,4.6875,0,0,1
1997,.085463845229242,3.6486487,0,0,1
1998,.0692041523871012,2.9411764,0,0,1
1999,.1015625,7.2916665,0,0,1
2000,.0557477891270537,2.5641026,0,0,1
2001,.1198347103781998,5.8441558,0,0,1
2002,.072022158652544,2.2267206,0,0,1
2003,.1113423558417708,5.5913978,0,0,1
2004,.1288888920098543,8.484848,0,0,1
2005,.0599999986588955,3.3333333,0,0,1
2006,.0916955038555898,3.5294118,0,0,1
2007,.0321361067472026,1.1163337,0,0,1
2008,.0415512453764677,1.5789474,0,0,1
2009,.0548204171936959,2.826087,0,0,1
2010,.046712803421542,2.0361991,0,0,1
2011,.0509885556530207,2.2849462,0,0,1
2012,.0346260378137231,1.1961722,0,0,1
2013,.0593132176436484,3.0721967,0,1,1
2014,.0449999993434176,1.9642857,0,1,1
2015,.0500945188105106,1.6304348,1,0,1
2016,.0400000000372529,1.4814814,1,0,1
2017,.0363109829340829,1.1940298,1,0,1
2018,.0309901750297286,1.0452962,1,0,1
2019,.0282913788396399,.76090139,1,0,1
2020,.0309056718251668,.99960017,1,0,1
2021,.0381944446125999,1.5625,1,0,1
2022,.0338198648532853,1.1420059,1,0,1
2023,.0431999989668839,1.75,1,0,1
2024,.0385015627834946,1.4976958,1,0,1
2025,.0495999988634139,2.0869565,1,0,1
