approval_year,hhi,top10_share,post_pdufa,is_cs_sample
1970,.0470914114266634,2.0467837,0,0
1971,.0807291676464956,2.4839745,0,0
1972,.0439952430315316,1.7241379,0,0
1973,.0419501136057079,1.6129032,0,0
1974,.0329762664914597,1.0697032,0,0
1975,.0637119109742343,2.0467837,0,0
1976,.0405405418277951,1.0063255,0,0
1977,.0487528344383463,2.2045856,0,0
1978,.05224609375,1.0069444,0,0
1979,.071800209581852,1.8026565,0,0
1980,.0538370011927327,1.4939024,0,0
1981,.0263836539816111,.78548211,0,0
1982,.0409999992989469,1,0,0
1983,.0333963459415827,.97668558,0,0
1984,.0322363436134765,.60249215,0,0
1985,.0330160620651441,.82082552,0,0
1986,.0470085479028057,1.1655011,0,0
1987,.0344827583176084,1.0673234,0,0
1988,.0370583169860765,1.0248325,0,0
1989,.0239446368359495,.58823532,0,0
1990,.0277777781011537,.86956519,0,0
1991,.029855339525966,.91706538,0,0
1992,.0338326440396486,.77861953,0,0
1993,.0390266294562025,1.1019284,1,0
1994,.0279429246729705,.90125394,1,0
1995,.0243374794663396,.64368773,1,0
1996,.0171929068819736,.35093582,1,0
1997,.0230175529068219,.48122188,1,0
1998,.0183836278229137,.41113219,1,0
1999,.0203813286207151,.45364892,1,0
2000,.0192837463109754,.44893378,1,0
2001,.0346020769065944,.87034816,1,0
2002,.0209750568028539,.53763443,1,0
2003,.0197368415538222,.50933784,1,0
2004,.013333333103219,.24891774,1,0
2005,.0197224258154165,.50389373,1,0
2006,.0149937526148278,.30999741,1,0
2007,.0204293623100966,.50933784,1,0
2008,.0199999998148996,.50403225,1,0
2009,.025580011686543,.59976012,1,0
2010,.0249307472258806,.60214096,1,0
2011,.0207100596890086,.51695615,1,0
2012,.0167652866221033,.37707391,1,0
2013,.0127830537385307,.22947475,1,0
2014,.0160187734290957,.33670035,1,0
2015,.0195751769497292,.41934583,1,0
2016,.0181314877409022,.44330776,1,0
2017,.0130455566250021,.2373835,1,0
2018,.0126953125,.21784855,1,0
2019,.0130315500573488,.24420024,1,0
2020,.0125171467589098,.21604939,1,0
2021,.0139781653997488,.28520498,1,0
2022,.0168350166641176,.36260036,1,0
2023,.0144117386662401,.29341447,1,0
2024,.0131626615475398,.2383159,1,0
2025,.0128925617173081,.23210831,1,0
1970,.5,50,0,1
1972,1,100,0,1
1973,.1999999955296516,20,0,1
1975,.4400000125169754,33.333332,0,1
1976,1,100,0,1
1977,.3333333358168602,33.333332,0,1
1978,.5,50,0,1
1979,.5,50,0,1
1980,.3333333358168602,33.333332,0,1
1981,.25,25,0,1
1982,.375,33.333332,0,1
1983,1,100,0,1
1984,.375,33.333332,0,1
1985,.25,25,0,1
1986,1,100,0,1
1987,1,100,0,1
1990,.1999999955296516,20,0,1
1991,.5,50,0,1
1992,.2777777798473835,25,0,1
1993,.5,50,1,1
1995,.5,50,1,1
1996,.3333333358168602,33.333332,1,1
1997,.1999999955296516,20,1,1
1998,.25,25,1,1
1999,1,100,1,1
2000,.3333333358168602,33.333332,1,1
2001,.3333333358168602,33.333332,1,1
2002,.1836734656244516,16.666666,1,1
2003,.3333333358168602,33.333332,1,1
2004,.1999999955296516,20,1,1
2005,.1999999955296516,20,1,1
2006,.1999999955296516,20,1,1
2007,.5,50,1,1
2008,.1875,16.666666,1,1
2009,.25,25,1,1
2010,.1239669369533658,11.111111,1,1
2011,.078125,5.3571429,1,1
2012,.1428571399301291,14.285714,1,1
2013,.1999999955296516,20,1,1
2014,.15625,14.285714,1,1
2015,.1358024701476097,12.5,1,1
2016,.2653061226010323,20,1,1
2017,.1399999968707561,12.5,1,1
2018,.1666666679084301,16.666666,1,1
2019,.3333333358168602,33.333332,1,1
2020,.1666666679084301,16.666666,1,1
2021,.25,25,1,1
2022,.1999999955296516,20,1,1
2023,.1666666679084301,16.666666,1,1
2025,1,100,1,1
